Time,Website,StatusCode,ResponseTime(ms),Result,ErrorMessage
"2025-10-23 15:04:02","https://www.abcdefgxyz1234.com",-1,0,"DOWN","DNS Error: www.abcdefgxyz1234.com"
"2025-10-23 15:04:02","https://www.vnexpress.net",200,733,"UP",""
"2025-10-23 15:04:02","https://www.google.com",200,888,"UP",""
"2025-10-23 15:04:02","https://expired.badssl.com/",-1,0,"DOWN","SSL Error: PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed"
"2025-10-23 15:08:40","https://www.abcdefgxyz1234.com",-1,0,"DOWN","DNS Error: www.abcdefgxyz1234.com"
"2025-10-23 15:08:41","https://www.vnexpress.net",200,656,"UP",""
"2025-10-23 15:08:41","https://www.google.com",200,805,"UP",""
"2025-10-23 15:08:41","https://expired.badssl.com/",-1,0,"DOWN","SSL Error: PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed"
"2025-10-23 15:08:43","https://httpstat.us/500",-1,0,"DOWN","I/O Error: Unexpected end of file from server"
"2025-10-23 20:38:00","https://www.abcdefgxyz1234.com",-1,0,"DOWN","DNS Error: www.abcdefgxyz1234.com"
"2025-10-23 20:38:00","https://www.vnexpress.net",200,246,"UP",""
"2025-10-23 20:38:01","https://www.google.com",200,481,"UP",""
"2025-10-23 20:38:01","https://expired.badssl.com/",-1,0,"DOWN","SSL Error: PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed"
"2025-10-23 20:38:03","https://httpstat.us/404",-1,0,"DOWN","I/O Error: Unexpected end of file from server"
"2025-10-24 09:34:54","https://10.255.255.1",-1,0,"DOWN","I/O Error: No route to host: getsockopt"
"2025-10-24 09:34:54","https://www.google.com",-1,0,"DOWN","DNS Error: www.google.com"
"2025-10-24 09:34:54","https://www.vnexpress.net",-1,0,"DOWN","DNS Error: www.vnexpress.net"
"2025-10-24 09:34:54","https://www.abcdefgxyz1234.com",-1,0,"DOWN","DNS Error: www.abcdefgxyz1234.com"
